Emissor,RatingGrupo,TradingDesk,pl_emissor,PL
ELETROMIDIA S.A.,Baa4,APO,49829.715882604,2279627646.384785
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,Ba4,PID,406652.7263315514,3937179801.4903502
VLI MULTIMODAL S.A.,Baa4,KOP,332232.0778104014,733760002.8074601
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,IRF,1157512.288514006,168954523.486945
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,BVP,1197979.5797349194,1191376868.3027952
AUTOPISTA REGIS BITTENCOURT S/A,Baa4,FRA,184188.14616553742,78590201.440485
MRS LOGISTICA S/A,Baa3,PID,27221.864677912345,3937179801.4903502
JSL S.A,Ba5,846,2959377.1246306715,3130395619.174485
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,APP,344750.8185761826,8430325498.580385
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,KCP,66235160.450396605,3424900701.5180855
ELEKTRO REDES S.A.,Baa3,678,831094.2027508036,6318358039.8425455
ENERGISA SA,Baa3,846,40845145.48790781,3130395619.174485
COPEL GERACAO E TRANSMISSAO S.A.,Baa3,KCP,4153274.628610035,3424900701.5180855
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,678,38886743.11913831,6318358039.8425455
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,PDA,43734.252290441254,1172652382.054455
JSL S.A,Ba5,RFA,6529.465174614681,6165720738.95119
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,Ba4,348,4111.165971580858,9225719.601444999
MRS LOGISTICA S/A,Baa3,PAL,3993.6268539452253,18720368.46087
ALUPAR INVESTIMENTO S/A,Baa3,348,889.6820899783654,9225719.601444999
COPEL  DISTRIBUICAO S/A,Baa3,846,23729576.456274167,3130395619.174485
COPEL  DISTRIBUICAO S/A,Baa3,IRF,5181104.463014501,168954523.486945
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,Baa4,PAL,182349.0900154648,18720368.46087
JSL S.A,Ba5,FRA,136567.25706994339,78590201.440485
COPEL  DISTRIBUICAO S/A,Baa3,PDA,275354.114322342,1172652382.054455
COPEL  DISTRIBUICAO S/A,Baa3,BVP,29096863.945190772,1191376868.3027952
EQUATORIAL ENERGIA S.A.,Baa4,PID,919873.6408565853,3937179801.4903502
ENERGISA SA,Baa3,134,126513421.0783898,7003331463.740895
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,RFA,1652767.6168153142,6165720738.95119
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,PID,146895.01473257702,3937179801.4903502
JSL S.A,Ba5,PID,149740.07483962493,3937179801.4903502
ALUPAR INVESTIMENTO S/A,Baa3,KCP,1613963.8589457618,3424900701.5180855
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,846,516161.57577905676,3130395619.174485
AES BRASIL OPERACOES S.A.,Baa4,FRA,310193.99323952716,78590201.440485
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,Ba4,678,14052579.9145823,6318358039.8425455
COPEL  DISTRIBUICAO S/A,Baa3,PEM,63264.48696618461,4500317.361375
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,APO,12638.932055958316,2279627646.384785
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,134,12342934.315721765,7003331463.740895
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,FRA,716064.5468398083,78590201.440485
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,IRF,2438144.1472027274,168954523.486945
CEMIG DISTRIBUICAO S/A,Baa4,134,32974856.260289375,7003331463.740895
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Ba4,APP,-3.1432274845428765e-06,8430325498.580385
EQUATORIAL ENERGIA S.A.,Baa4,ID2,764046.4576190377,3488179932.21023
MRS LOGISTICA S/A,Baa3,APP,58378.67434579358,8430325498.580385
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,PAL,23584.059460313027,18720368.46087
COPEL  DISTRIBUICAO S/A,Baa3,FRA,719973.2845925586,78590201.440485
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S/A,Baa4,PAL,2790.8661312818676,18720368.46087
VLI MULTIMODAL S.A.,Baa4,KCP,85753.76536262778,3424900701.5180855
JSL S.A,Ba5,BVP,3248038.708046011,1191376868.3027952
VLI MULTIMODAL S.A.,Baa4,348,672.8549026637173,9225719.601444999
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,PEM,144295.8178781521,4500317.361375
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,PEM,36344.687290648566,4500317.361375
ELEKTRO REDES S.A.,Baa3,846,233736.63183933875,3130395619.174485
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,846,5137671.801445368,3130395619.174485
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Ba4,PAL,-1.3749058180110297e-06,18720368.46087
AES BRASIL ENERGIA S.A.,Baa4,348,75.02126697718748,9225719.601444999
AUTOPISTA REGIS BITTENCOURT S/A,Baa4,APO,69124.79232094409,2279627646.384785
AES BRASIL ENERGIA S.A.,Baa4,PDA,984.1267061476874,1172652382.054455
JSL S.A,Ba5,652,30894.199144528255,2496049914.0221553
COPEL  DISTRIBUICAO S/A,Baa3,PAL,134954.57214992138,18720368.46087
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,PAL,6008.029401842809,18720368.46087
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,PID,160756.65019886862,3937179801.4903502
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,Baa4,RFA,415739.2070934216,6165720738.95119
INSPIRALI EDUCACAO S/A,Baa4,678,16976673.099837784,6318358039.8425455
AES BRASIL ENERGIA S.A.,Baa4,652,1883.775896225144,2496049914.0221553
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,PID,2057757.647234716,3937179801.4903502
COPEL GERACAO E TRANSMISSAO S.A.,Baa3,BVP,4269384.615069473,1191376868.3027952
AES BRASIL OPERACOES S.A.,Baa4,846,4660559.948532758,3130395619.174485
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,PID,552250.506793852,3937179801.4903502
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,Baa4,BVP,39342128.77525524,1191376868.3027952
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,Baa4,678,83726934.34141693,6318358039.8425455
BORRACHAS VIPAL S.A.,Baa4,RFA,88244.02513534458,6165720738.95119
EQUATORIAL ENERGIA S.A.,Baa4,PEM,53049.70970423028,4500317.361375
